name,carbon_2007,latitude,energy_2000,country,parentcomp_id,carbon_2000,carbon_nextdecade,intensity_2007,company_id,plant_id,longitude,intensity_nextdecade,city_name,energy_2007,energy_nextdecade,intensity_2000,state,state_code,is_renewable,intensity_category,carbon_change_2000_2007,carbon_change_2007_future,energy_change_2000_2007,energy_change_2007_future,carbon_growing,carbon_declining,is_high_emitter,is_clean_plant,size_category,region,intensity_category_low,intensity_category_medium,intensity_category_unknown,size_category_medium,size_category_small,size_category_zero,state_Australian CapitalTerritory,state_AustralianCapital Territory,state_AustralianCapitalTerritory,state_New SouthWales,state_NewSouthWales,state_NorthernTerritory,state_Queensland,state_SouthAustralia,state_Tasmania,state_Victoria,state_WesternAustralia,region_Queensland,region_Tasmania,region_Victoria,company_plants_count,parent_plants_count
KALGOORLIE SMELTER,0.0,-30.75,32393.2891,Australia,BHPBILLITON,0.0,0.0,0.0,BHP NICKELWEST,20957,121.4667,0.0,Kalgoorlie,33074.4883,33074.4883,0.0,WesternAustralia,WesternAustralia,1,unknown,0.0,0.0,681.1991999999955,0.0,0,0,0,1,medium,Other,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,5
KALGOORLIE SMELTERSCE,23609.17725,-30.75,60647.79775,Australia,TRANSALTACORP,15880.16725,35315.901,1515.075,SOUTHERN CROSSENERGY,20958,121.4667,1515.075,Kalgoorlie,102063.5887,123220.5,1412.4969,WesternAustralia,WesternAustralia,0,high,7729.01,11706.723749999997,41415.790949999995,21156.911300000007,1,0,1,0,large,Other,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2,2
KAMBALDAMINE,23609.17725,-31.2,60647.79775,Australia,TRANSALTACORP,15880.16725,35315.901,1515.075,SOUTHERN CROSSENERGY,21049,121.6667,1515.075,Kambalda,102063.5887,123220.5,1412.4969,WesternAustralia,WesternAustralia,0,high,7729.01,11706.723749999997,41415.790949999995,21156.911300000007,1,0,1,0,large,Other,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2,2
KAREEYA (TULLY FALLS),0.0,-17.93333,60647.79775,Australia,Unknown,0.0,0.0,0.0,STANWELL CORPLTD,21349,145.9333,0.0,Tully,102063.5887,147012.7969,0.0,Queensland,QLD,1,unknown,0.0,0.0,41415.790949999995,44949.208199999994,0,0,0,1,large,Queensland,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,10,382
KAREEYAII,0.0,-17.93333,0.0,Australia,Unknown,0.0,0.0,0.0,STANWELL CORPLTD,21350,145.9333,0.0,Tully,25313.4609,25313.4609,0.0,Queensland,QLD,1,unknown,0.0,0.0,25313.4609,0.0,0,0,0,1,medium,Queensland,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,10,382
KARRATHA,23609.17725,-20.88,60647.79775,Australia,WOODSIDEPETROLEUMPTYLTD,15880.16725,35315.901,1469.8,WOODSIDE PETROLEUMLTD,21411,116.67,1469.8,Karratha,102063.5887,189381.5,1430.184,WesternAustralia,WesternAustralia,0,medium,7729.01,11706.723749999997,41415.790949999995,87317.9113,1,0,1,0,large,Other,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1
KATHERINE,14270.6602,-14.47,19350.5801,Australia,Unknown,13090.0098,14270.6602,1450.656,POWER AND WATERCORP,21532,132.26,1450.656,Katherine,19674.7598,19674.7598,1352.932,NorthernTerritory,NorthernTerritory,0,medium,1180.6504000000004,0.0,324.1797000000006,0.0,1,0,1,0,medium,Other,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,14,382
KATHERINENORTH,7795.3569,-14.47,9964.4824,Australia,Unknown,7127.5591,7795.3569,1533.4771,POWER AND WATERCORP,21533,132.26,1533.4771,Katherine,10166.9102,10166.9102,1430.593,NorthernTerritory,NorthernTerritory,0,high,667.7977999999994,0.0,202.42779999999948,0.0,1,0,1,0,medium,Other,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,14,382
KEMBLA STEELWORKS,23609.17725,-34.46667,60647.79775,Australia,Unknown,15880.16725,35315.901,814.2961,BLUESCOPESTEELLTD,21808,150.9,814.2961,PortKembla,102063.5887,192756.11575000003,755.7319,New SouthWales,New SouthWales,0,medium,7729.01,11706.723749999997,41415.790949999995,90692.52705000003,1,0,1,0,large,Other,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,382
KEMMISS HILL,0.0,-35.46667,0.0,Australia,ORIGIN ENERGYLTD,0.0,0.0,0.0,ORIGINENERGYLTD,21822,138.35,0.0,Yankalilla,0.0,48318.3711,0.0,SouthAustralia,SouthAustralia,1,unknown,0.0,0.0,0.0,48318.3711,0,0,0,1,zero,Other,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3,8
KOGAN CREEK,0.0,-27.16667,0.0,Australia,Unknown,0.0,35315.901,0.0,CS ENERGYCORPLTD,22662,149.0667,2426.7141,Surat,0.0,192756.11575000003,0.0,Queensland,QLD,1,unknown,0.0,35315.901,0.0,192756.11575000003,0,0,0,1,zero,Queensland,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1,382
KOGARAH TOWNSQUARE,0.0,-33.98333,0.0,Australia,Unknown,0.0,0.0,0.0,KOGARAH TOWNSQUARE,22663,151.1167,0.0,Kogarah,192.6227,192.6227,0.0,New SouthWales,New SouthWales,1,unknown,0.0,0.0,192.6227,0.0,0,0,0,1,small,Other,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,382
KOOMBOOLOOMBADAM,0.0,-17.93333,14734.1201,Australia,Unknown,0.0,0.0,0.0,STANWELL CORPLTD,22855,145.9333,0.0,Tully,13630.3203,13630.3203,0.0,Queensland,QLD,1,unknown,0.0,0.0,-1103.7998000000007,0.0,0,0,0,1,medium,Queensland,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,10,382
KOORAGANGISLAND,0.0,-32.92,946.4642,Australia,Unknown,0.0,0.0,0.0,ENERGYAUSTRALIA,22856,151.75,0.0,Newcastle,966.3674,966.3674,0.0,New SouthWales,New SouthWales,1,unknown,0.0,0.0,19.90319999999997,0.0,0,0,0,1,small,Other,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2,382
KOWANYAMA,541.587,-14.91667,368.7745,Australia,Unknown,348.0556,541.587,1958.931,ERGON ENERGY CORPLTD,23045,141.6,1958.931,Kowanyama,552.9415,552.9415,1887.6331,Queensland,QLD,0,high,193.53139999999996,0.0,184.16700000000003,0.0,1,0,0,0,small,Queensland,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,14,382
KUNUNURRA,5333.4199,-15.76,7506.7622,Australia,Unknown,5498.9912,5333.4199,1587.858,WESTERNPOWER,23387,128.73,1587.858,Kununurra,6717.7539,6717.7539,1465.077,WesternAustralia,WesternAustralia,0,high,-165.57130000000052,0.0,-789.0083000000004,0.0,0,1,1,0,medium,Other,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,20,382
KURNELLREFINERY,14815.0596,-34.01667,34459.2305,Australia,Unknown,14061.9297,14815.0596,880.255,AMPOL(CALTEX),23431,151.2,880.255,Kurnell,33660.8281,33660.8281,816.1489,NewSouthWales,NewSouthWales,0,medium,753.1298999999999,0.0,-798.402399999999,0.0,1,0,1,0,medium,Other,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,382
KWINANAALUMINA,23609.17725,-32.23,60647.79775,Australia,ALCOAINC,15880.16725,35315.901,1444.308,ALLETEINC,23568,115.76,1355.678,Kwinana,102063.5887,192756.11575000003,1342.349,WesternAustralia,WesternAustralia,0,medium,7729.01,11706.723749999997,41415.790949999995,90692.52705000003,1,0,1,0,large,Other,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,3
KWINANAREFINERY,23609.17725,-32.25,60647.79775,Australia,Unknown,15880.16725,35315.901,1117.137,INTERNATIONAL POWERAUSTRALIA,23569,115.77,1117.137,Kwinana,102063.5887,192756.11575000003,1048.778,WesternAustralia,WesternAustralia,0,medium,7729.01,11706.723749999997,41415.790949999995,90692.52705000003,1,0,1,0,large,Other,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,382
KWINANATIWEST,23609.17725,-32.25,60647.79775,Australia,Unknown,15880.16725,35315.901,1516.314,VERVEENERGY,23570,115.77,1516.314,Kwinana,102063.5887,121801.8984,1413.229,WesternAustralia,WesternAustralia,0,high,7729.01,11706.723749999997,41415.790949999995,19738.309700000013,1,0,1,0,large,Other,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10,382
KWINANAWESFARMERS,11010.0801,-32.25,30021.25,Australia,Unknown,9915.2471,11010.0801,710.9584,WESFARMERS CSBPLTD,23571,115.77,710.9584,Kwinana,30972.5,30972.5,660.5486,WesternAustralia,WesternAustralia,0,medium,1094.8329999999987,0.0,951.25,0.0,1,0,1,0,medium,Other,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,382
KYABRAMHOSPITAL,1464.744,-36.32,1402.436,Australia,Unknown,1355.645,1464.744,2077.1709,KYABRAMHOSPITAL,23573,145.05,2077.1709,Kyabram,1410.326,1410.326,1933.272,Victoria,VIC,0,high,109.09899999999993,0.0,7.8900000000001,0.0,1,0,1,0,medium,Victoria,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,1,382
LAKEBONNEY,0.0,-37.6,0.0,Australia,BABCOCK &amp;BROWN,0.0,0.0,0.0,BABCOCK &amp; BROWN WINDPARTNERS,24212,140.35,0.0,Millicent,102063.5887,192756.11575000003,0.0,SouthAustralia,SouthAustralia,1,unknown,0.0,0.0,102063.5887,90692.52705000003,0,0,0,1,large,Other,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2,4
LAKE MARGARET,0.0,-42.08333,17680.9395,Australia,Unknown,0.0,0.0,0.0,HYDROTASMANIA,24246,145.55,0.0,Queenstown,16356.3896,16356.3896,0.0,Tasmania,TAS,1,unknown,0.0,0.0,-1324.5499,0.0,0,0,0,1,medium,Tasmania,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,11,382
LANDERSSHUTE,0.0,-26.63,631.4622,Australia,Unknown,0.0,0.0,0.0,CALOUNDRA-MAROOCHYWTRSUPPLY,24411,152.97,0.0,Nambour,584.1568,584.1568,0.0,Queensland,QLD,1,unknown,0.0,0.0,-47.30540000000008,0.0,0,0,0,1,small,Queensland,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1,382
LANG LANG GASPLANT,6199.6162,-38.26667,0.0,Australia,ORIGIN ENERGYLTD,0.0,6199.6162,1868.291,ORIGIN ENERGYLTD,24444,145.5667,1868.291,LangLang,6636.6689,6636.6689,0.0,Victoria,VIC,0,high,6199.6162,0.0,6636.6689,0.0,1,0,1,0,medium,Victoria,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,8,8
LAVERTON,1273.834,-28.63333,0.0,Australia,WESFARMERS,0.0,1273.834,1721.365,ENERGY GENERATION(ENGEN),24741,122.4167,1721.365,Laverton,1480.027,1480.027,0.0,WesternAustralia,WesternAustralia,0,high,1273.834,0.0,1480.027,0.0,1,0,1,0,medium,Other,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7,11
LAVERTON NORTH,0.0,-37.85,0.0,Australia,Unknown,0.0,35315.901,0.0,SNOWYHYDROLTD,24742,144.75,1178.6801,Laverton,0.0,192756.11575000003,0.0,Victoria,VIC,1,unknown,0.0,35315.901,0.0,192756.11575000003,0,0,0,1,zero,Victoria,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,7,382
