state_Qld,state_NSW,state_NT,state_WA,state_Vic,state_SA,state_Tas,state_ACT,tenure_PRIV,tenure_LEASE,tenure_NCR,tenure_OCL,tenure_MUF,tenure_ND,prior_burns,pixel_count,fires,fire_rate
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,98,0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,616,0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1192,69,0.057885906040268456
1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1272,205,0.1611635220125786
1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,762,210,0.2755905511811024
1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,218,97,0.44495412844036697
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,108,0,0.0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,705,0,0.0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1466,82,0.05593451568894952
1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1825,256,0.14027397260273972
1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1314,328,0.2496194824961948
1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,392,156,0.3979591836734694
