holdercnt,legal_area,grantyear,grantmonth,grantday,grantdayofweek,grantquarter,startyear,startmonth,startday,startdayofweek,startquarter,endyear,endmonth,endday,enddayofweek,endquarter,is_live,type_COAL MINING LEASE,type_EXPLORATION LICENCE,survstatus_SURVEYED,survstatus_UNSURVEYED,fmt_tenid_freq
1.0,8.0,2020,7,15,2,3,2026,1,27,1,1,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,46.0,2020,7,15,2,3,2026,1,27,1,1,2027,6,15,2,2,0,0,1,0,1,0.0002
1.0,2.0,2020,7,15,2,3,2026,2,13,4,1,2027,6,15,2,2,0,0,1,0,1,0.0002
6.0,2.0,2009,7,6,0,3,1997,11,7,4,4,2026,7,5,6,3,1,0,1,0,1,0.0002
1.0,11.0,2000,6,5,0,2,1999,4,12,0,2,2026,6,4,3,2,1,0,1,0,1,0.0002
5.0,3.0,2002,4,23,1,2,1999,8,27,4,3,2026,4,22,2,2,1,0,1,0,1,0.0002
1.0,108.0,1986,2,20,3,1,1985,12,9,0,4,2027,2,19,4,1,1,0,1,0,1,0.0002
1.0,127.73,1986,2,20,3,1,1985,12,9,0,4,2027,2,19,4,1,1,0,1,0,1,0.0002
5.0,32.0,2001,2,6,1,1,2000,6,19,0,2,2027,2,5,4,1,1,0,1,0,1,0.0002
2.0,10.0,2002,4,8,0,2,2000,12,7,3,4,2026,4,7,1,2,1,0,1,0,1,0.0002
2.0,63.0,2005,5,25,2,2,2001,11,30,4,4,2026,5,24,6,2,1,0,1,0,1,0.0002
2.0,69.0,2005,10,19,2,4,2001,12,19,2,4,2026,10,18,6,4,1,0,1,0,1,0.0002
1.0,23.0,2003,6,5,3,2,2002,1,7,0,1,2026,6,4,3,2,1,0,1,0,1,0.0002
2.0,43.0,2005,10,19,2,4,2002,1,7,0,1,2026,10,18,6,4,1,0,1,0,1,0.0002
2.0,34.0,2005,5,30,0,2,2002,1,7,0,1,2026,5,29,4,2,1,0,1,0,1,0.0002
