id,year_scaled,kilometers_scaled,cc_scaled,seating_capacity_scaled,decade_1980s,decade_1990s,decade_2000s,decade_2010s,decade_2020s,gearbox_Automatic,gearbox_Manual,fuel_Diesel,fuel_Premium Unleaded Petrol,fuel_Unleaded Petrol,fuel_Premium Unleaded/Electric,fuel_Unleaded Petrol/Electric,status_Demo,status_New In Stock,status_Used,price
12781615,0.533445533332243,-0.04402765598533698,-1.1268101715699135,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,19990.0
12781618,0.7452385292624686,-0.9442661950257285,0.002460014560516973,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0.0,1,39990.0
12781619,0.10985954147179167,-0.038642963310771224,-1.0213662686480962,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,31670.0
12781620,0.3216525374020173,0.15437277572372088,-0.5610412730969367,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,20990.0
12781621,0.7452385292624686,-0.9285846766362887,0.006995236191562879,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,30990.0
12781628,-0.10193345445843398,0.1834849363499528,1.6918300721251167,-2.777566983217997,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,1,26990.0
12781632,0.533445533332243,-0.5633582582544836,-0.5757807433978359,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0.0,1,49990.0
12781640,0.533445533332243,-0.4049886018789758,0.9639270003422489,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,49980.0
12781649,0.3216525374020173,-0.30420904198363885,0.005861430783801402,-1.8861352557777138,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,35490.0
12781655,-3.9142073812024956,2.1982553727866647,1.6646187423388412,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,9000.0
12781657,1.1688245211229198,-0.9634794748922507,-1.4170643559568514,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,20750.0
12781666,0.3216525374020173,-0.2615418813221259,0.5614260805869248,1.6795916539834201,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,85995.0
12781670,0.7452385292624686,-0.4594448818372285,0.5387499724316953,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,59990.0
12781684,1.1688245211229198,-1.220029613174679,0.5750317454800625,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,71888.0
12781691,1.1688245211229198,-1.0985320440511055,0.5750317454800625,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0.0,1,68990.0
12781701,0.7452385292624686,-0.688773098030455,0.005861430783801402,2.5710233814237036,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,44990.0
12781702,0.3216525374020173,0.32854830828715725,-1.0134296307937658,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0.0,1,18990.0
12781703,0.3216525374020173,0.6021354649625535,-0.21976584536073238,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,32990.0
12781733,1.3806175170531456,-1.2478733242563251,-0.5757807433978359,1.6795916539834201,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0.0,0,64490.0
12781741,0.533445533332243,-1.0653285118545914,-0.004342817886051884,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,31300.0
12781742,-0.7373124422491109,0.5957683456799262,1.3698293363208573,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,18999.0
12781743,-0.9491054381793366,0.39892238645197853,-0.5678441055435056,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,10999.0
12781769,0.3216525374020173,0.04582085342283295,-0.5587736622814138,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,25980.0
12781772,-0.5255194463188853,0.06876486724401959,-0.004342817886051884,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,18990.0
12781777,-1.3726914300397879,1.4708244305263323,-0.6755556192808458,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0.0,1,8990.0
