id,brand,model,variant,series,year,decade,price,price_bracket,kilometers,odometer_category,type,gearbox,fuel,status,cc,color,seating_capacity
12791759,Isuzu,D-MAX,SX HI-Ride (4X4),TF MY12,2012,2010s,24990.0,economy,170992.0,high,Crew Cab Utility,Manual,Diesel,Used,2999.0,White,5
12791761,Renault,Kangoo,Maxi,X61,2014,2010s,15850.0,economy,109558.0,average,Van,Manual,Diesel,Used,1461.0,White,2
12791763,Mazda,CX-8,Sport (fwd),KG B,2019,2010s,39990.0,mid_range,48652.0,moderate,Wagon,Automatic,Diesel,Used,2191.0,Silver,7
12791764,Holden,Captiva,5 LS (fwd),CG MY16,2016,2010s,19888.0,economy,36503.0,moderate,Wagon,Manual,Unleaded Petrol,Used,2384.0,Silver,5
12791768,Mercedes-Benz,C250,D,205 MY17.5,2018,2010s,38990.0,mid_range,152608.0,high,Estate,Automatic,Diesel,Used,2143.0,Black,4
12791769,Lexus,IS350,F Sport,GSE31R,2019,2010s,66990.0,premium,10880.0,low,Sedan,Automatic,Premium Unleaded Petrol,Used,3456.0,White,5
12791772,Volkswagen,Golf,R,AU MY15,2014,2010s,35990.0,mid_range,109550.0,average,Hatchback,Automatic,Premium Unleaded Petrol,Used,1984.0,White,5
12791773,Volkswagen,Touareg,210TDI Elegance,CR MY21,2021,2020s,105990.0,luxury,26500.0,moderate,Wagon,Automatic,Diesel,Used,2967.0,White,5
12791777,Mercedes-Benz,GLC,300 4Matic,C253 MY20.5,2020,2020s,92800.0,luxury,17757.0,low,Coupe,Automatic,Premium Unleaded Petrol,Used,1991.0,Blue,5
12791778,Toyota,Landcruiser,GXL (4X4),HZJ105R,1999,1990s,35990.0,mid_range,216602.0,very_high,Wagon,Automatic,Diesel,Used,4164.0,Silver,8
12791785,Ford,Ranger,XL 2.2 HI-Rider (4X2),PX,2015,2010s,22990.0,economy,132548.0,high,Cab Chassis,Automatic,Diesel,Used,2198.0,White,2
12791788,Toyota,Hilux,Rugged X (4X4),GUN126R MY19,2019,2010s,69991.0,premium,55000.0,moderate,Double Cab Pick Up,Automatic,Diesel,Used,2753.0,Silver,5
12791793,Ford,Ranger,XLT 2.0 (4X4),PX Mkiii MY20.75,2020,2020s,52990.0,premium,118637.0,average,Double Cab Pick Up,Automatic,Diesel,Used,1996.0,Silver,5
12791804,Suzuki,Swift,S,EZ,2005,2000s,7995.0,budget,164887.0,high,Hatchback,Automatic,Unleaded Petrol,Used,1490.0,Red,5
12791809,Subaru,XV,2.0I-S AWD,MY21,2021,2020s,40999.0,mid_range,13819.0,low,Wagon,Automatic,Unleaded Petrol,Used,1995.0,Grey,5
12791811,Ford,Territory,TS (rwd),SZ MK2,2016,2010s,23850.0,economy,156827.0,high,Wagon,Automatic,Diesel,Used,2720.0,Red,7
12791823,Ford,Ranger,Wildtrak 2.0 (4X4),PX Mkiii MY19,2018,2010s,64888.0,premium,111046.0,average,Double Cab Pick Up,Automatic,Diesel,Used,1996.0,Orange,5
12791826,Toyota,Hilux,SR5 + Premium Interior (4X4),GUN126R,2022,2020s,75676.0,premium,44.0,low,Double Cab Pick Up,Automatic,Diesel,Used,2753.0,Silver,5
12791835,Honda,HR-V,VTI-L (adas),MY17,2018,2010s,27998.0,economy,85660.0,average,Wagon,Automatic,Unleaded Petrol,Used,1799.0,White,5
12791855,Nissan,Navara,RX (4X4),D23 Series II,2016,2010s,39990.0,mid_range,97950.0,average,Double Cab Utility,Manual,Diesel,Used,2298.0,White,5
12791902,Toyota,Hilux,Rogue (4X4),GUN126R,2022,2020s,84990.0,luxury,90.0,low,Double Cab Pick Up,Automatic,Diesel,Used,2753.0,Grey,5
12791921,Hyundai,I30,Trophy,GD MY14,2014,2010s,16888.0,economy,114464.0,average,Hatchback,Automatic,Unleaded Petrol,Used,1797.0,Silver,5
12791923,Volkswagen,Transporter,TDI 340 SWB LOW,T5 MY13,2013,2010s,18990.0,economy,307724.0,very_high,Van,Automatic,Diesel,Used,1968.0,White,2
12791925,Mazda,CX-5,Akera Turbo (awd) 100TH Anniv,CX5J,2020,2020s,49990.0,mid_range,26226.0,moderate,Wagon,Automatic,Unleaded Petrol,Used,2488.0,White,5
12791929,Volkswagen,Polo,GTI,AW MY22,2022,2020s,46990.0,mid_range,1505.0,low,Hatchback,Automatic,Premium Unleaded Petrol,Demo,1984.0,Grey,5
12791936,Toyota,Fortuner,GXL,GUN156R,2021,2020s,62490.0,premium,37701.0,moderate,Wagon,Automatic,Diesel,Used,2755.0,Silver,7
12791950,Holden,Commodore,Omega,VE,2007,2000s,11888.0,budget,100190.0,average,Sedan,Automatic,Unleaded Petrol,Used,3565.0,White,5
12791955,Toyota,C-HR,Koba (2WD),NGX10R Update,2018,2010s,28888.0,economy,74046.0,average,Wagon,Automatic,Premium Unleaded Petrol,Used,1197.0,Blue,5
12791956,Volkswagen,Passat,132 TSI,3C MY17,2017,2010s,26555.0,economy,57352.0,moderate,Wagon,Automatic,Premium Unleaded Petrol,Used,1798.0,White,5
12791958,Honda,CR-V,VTI (4X2),30 Series 2 MY17,2017,2010s,27888.0,economy,80388.0,average,Wagon,Automatic,Unleaded Petrol,Used,1997.0,Blue,5
12791959,Honda,CR-V,VTI-LX (awd),MY18,2017,2010s,33950.0,mid_range,75854.0,average,Wagon,Automatic,Unleaded Petrol,Used,1498.0,Red,5
12791963,Toyota,Hilux,SR5 (4X4),GUN126R MY17,2018,2010s,55990.0,premium,63375.0,average,Dual Cab Utility,Automatic,Diesel,Used,2753.0,Black,5
12791965,Holden,Colorado,LS (4X4),RG MY20,2020,2020s,44990.0,mid_range,73638.0,average,Crew Cab Chassis,Automatic,Diesel,Used,2776.0,White,5
12791966,Nissan,Navara,PRO-4X (4X4),D23 MY21.5,2021,2020s,64990.0,premium,20868.0,moderate,Dual Cab Pick-Up,Automatic,Diesel,Used,2298.0,White,5
12791971,Toyota,Landcruiser Prado,GXL (4X4),GDJ150R MY18,2018,2010s,61450.0,premium,115401.0,average,Wagon,Automatic,Diesel,Used,2755.0,White,7
12791972,Bmw,M2,Competition,F87,2020,2020s,98888.0,luxury,40252.0,moderate,Coupe,Automatic,Premium Unleaded Petrol,Used,2979.0,Silver,4
